,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
20225,1,2 - 4 years,2 - 4 years,PhD,Man,Technology & Science,very well payed
20226,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Other,well payed
20227,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed
20229,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
20230,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
20231,1,5-7 years,5-7 years,College degree,Man,Technology & Science,very well payed
20232,3,11 - 20 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
20233,1,5-7 years,2 - 4 years,College degree,Man,Advertising,bad payed
20234,3,5-7 years,8 - 10 years,College degree,Woman,Advertising,bad payed
20235,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed
20237,1,21 - 30 years,5-7 years,College degree,Man,Technology & Science,very well payed
20238,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
20239,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
20240,0,41 years or more,31 - 40 years,Master's degree,Woman,Non profit Organization,very well payed
20241,0,21 - 30 years,5-7 years,Master's degree,Woman,Industry,bad payed
20242,1,21 - 30 years,11 - 20 years,Some college,Man,Other,bad payed
20243,0,5-7 years,5-7 years,Master's degree,Woman,Education,well payed
20245,1,21 - 30 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed
20246,0,11 - 20 years,5-7 years,Some college,Woman,Advertising,bad payed
20247,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20248,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
20249,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,well payed
20250,1,11 - 20 years,2 - 4 years,College degree,Man,Banking & Insurance,well payed
20251,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
20252,1,11 - 20 years,5-7 years,Master's degree,Man,Technology & Science,very well payed
20253,3,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,bad payed
20254,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
20256,0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,well payed
20257,0,21 - 30 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
20258,3,21 - 30 years,5-7 years,College degree,Woman,Technology & Science,bad payed
20260,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
20261,1,2 - 4 years,2 - 4 years,College degree,Non-binary,Technology & Science,well payed
20262,0,21 - 30 years,31 - 40 years,Some college,Woman,Consulting,well payed
20264,3,1 year or less,1 year or less,College degree,Woman,Industry,well payed
20265,1,11 - 20 years,11 - 20 years,College degree,Man,Other,well payed
20266,0,11 - 20 years,8 - 10 years,PhD,Man,Education,bad payed
20267,1,21 - 30 years,11 - 20 years,Some college,Man,Banking & Insurance,bad payed
20268,1,31 - 40 years,11 - 20 years,PhD,Man,Non profit Organization,well payed
20269,1,11 - 20 years,8 - 10 years,College degree,Man,Advertising,well payed
20270,0,5-7 years,2 - 4 years,Master's degree,Man,Non profit Organization,bad payed
20271,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed
20272,1,5-7 years,2 - 4 years,College degree,Non-binary,Banking & Insurance,bad payed
20273,1,5-7 years,5-7 years,College degree,Man,Banking & Insurance,very well payed
20274,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,very well payed
20275,1,31 - 40 years,5-7 years,High School,Man,Banking & Insurance,very well payed
20276,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed
20277,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
20278,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
20279,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
20280,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
20281,1,5-7 years,5-7 years,College degree,Non-binary,Culture,bad payed
20282,0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
20283,1,8 - 10 years,5-7 years,College degree,Non-binary,Law,bad payed
20284,2,21 - 30 years,11 - 20 years,Some college,Woman,Public & Government,bad payed
20285,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
20287,0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
20288,0,2 - 4 years,1 year or less,Master's degree,Woman,Industry,well payed
20290,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
20291,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,bad payed
20292,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,well payed
20293,3,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
20294,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,very well payed
20295,0,11 - 20 years,5-7 years,Master's degree,Woman,Industry,bad payed
20296,1,5-7 years,1 year or less,Some college,Man,Health,bad payed
20297,0,2 - 4 years,1 year or less,Master's degree,Woman,Other,bad payed
20298,3,5-7 years,2 - 4 years,College degree,Woman,Unidentified,very well payed
20299,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
20300,2,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed
20302,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
20303,1,1 year or less,1 year or less,PhD,Man,Technology & Science,well payed
20304,1,21 - 30 years,11 - 20 years,College degree,Man,Industry,well payed
20305,0,11 - 20 years,8 - 10 years,Master's degree,Man,Culture,well payed
20306,0,5-7 years,1 year or less,Master's degree,Woman,Advertising,well payed
20307,0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Other,bad payed
20308,1,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,well payed
20309,1,11 - 20 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed
20310,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Unidentified,well payed
20311,3,8 - 10 years,5-7 years,College degree,Woman,Other,bad payed
20312,1,8 - 10 years,8 - 10 years,College degree,Man,Health,bad payed
20313,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,well payed
20314,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
20315,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
20316,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
20317,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed
20318,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed
20319,1,21 - 30 years,11 - 20 years,Some college,Man,Technology & Science,very well payed
20320,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,Non profit Organization,very well payed
20321,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
20322,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
20323,0,5-7 years,2 - 4 years,High School,Woman,Health,bad payed
20324,1,8 - 10 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20325,0,5-7 years,8 - 10 years,Master's degree,Non-binary,Education,well payed
20326,3,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed
20327,3,5-7 years,2 - 4 years,College degree,Woman,Other,well payed
20328,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
20329,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,very well payed
20330,3,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed
20332,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Education,well payed
20333,0,11 - 20 years,5-7 years,Master's degree,Woman,Health,well payed
20334,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed
20335,0,11 - 20 years,2 - 4 years,Some college,Non-binary,Banking & Insurance,bad payed
20336,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
20337,0,8 - 10 years,5-7 years,Master's degree,Woman,Advertising,well payed
20339,1,11 - 20 years,5-7 years,Master's degree,Man,Technology & Science,well payed
20340,1,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Man,Law,well payed
20341,0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
20343,0,5-7 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
20344,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
20345,1,11 - 20 years,5-7 years,High School,Man,Public & Government,bad payed
20346,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed
20347,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed
20348,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,bad payed
20349,0,11 - 20 years,5-7 years,Master's degree,Man,Education,well payed
20350,2,2 - 4 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
20351,1,5-7 years,8 - 10 years,College degree,Man,Technology & Science,well payed
20352,0,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Education,well payed
20353,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,well payed
20355,0,11 - 20 years,11 - 20 years,PhD,Woman,Law,very well payed
20356,0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Law,well payed
20357,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,well payed
20359,3,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,bad payed
20361,3,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,bad payed
20362,1,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,very well payed
20363,3,31 - 40 years,31 - 40 years,College degree,Woman,Health,well payed
20364,3,2 - 4 years,1 year or less,College degree,Woman,Consulting,well payed
20366,3,1 year or less,1 year or less,College degree,Woman,Advertising,well payed
20367,1,5-7 years,5-7 years,College degree,Man,Technology & Science,bad payed
20369,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
20370,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,well payed
20371,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
20372,0,5-7 years,5-7 years,Master's degree,Woman,Culture,bad payed
20373,2,21 - 30 years,21 - 30 years,Master's degree,Man,Public & Government,very well payed
20374,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,bad payed
20375,1,11 - 20 years,11 - 20 years,PhD,Man,Public & Government,bad payed
20376,1,5-7 years,5-7 years,Master's degree,Man,Technology & Science,bad payed
20377,0,5-7 years,2 - 4 years,Master's degree,Woman,Advertising,well payed
20378,3,8 - 10 years,11 - 20 years,Some college,Woman,Technology & Science,bad payed
20379,1,5-7 years,5-7 years,College degree,Man,Unidentified,well payed
20380,0,11 - 20 years,8 - 10 years,PhD,Woman,Education,well payed
20381,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed
20382,1,11 - 20 years,11 - 20 years,College degree,Man,Industry,well payed
20383,2,11 - 20 years,8 - 10 years,College degree,Woman,Public & Government,well payed
20384,0,5-7 years,2 - 4 years,Master's degree,Man,Industry,well payed
20385,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Technology & Science,very well payed
20386,3,1 year or less,1 year or less,College degree,Woman,Consulting,well payed
20387,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
20388,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,very well payed
20389,3,8 - 10 years,2 - 4 years,College degree,Woman,Industry,very well payed
20390,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Advertising,well payed
20391,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
20392,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
20393,1,5-7 years,5-7 years,College degree,Non-binary,Non profit Organization,bad payed
20395,0,11 - 20 years,1 year or less,Master's degree,Woman,Health,bad payed
20396,0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Technology & Science,very well payed
20397,0,21 - 30 years,11 - 20 years,Master's degree,Man,Health,well payed
20398,0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
20399,1,11 - 20 years,8 - 10 years,College degree,Prefer not to answer,Technology & Science,very well payed
20400,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
20401,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
20402,1,11 - 20 years,2 - 4 years,Some college,Man,Other,bad payed
20403,2,31 - 40 years,31 - 40 years,Master's degree,Man,Public & Government,very well payed
20404,3,21 - 30 years,11 - 20 years,College degree,Woman,Industry,bad payed
20405,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
20406,0,2 - 4 years,2 - 4 years,PhD,Woman,Culture,well payed
20407,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed
20408,0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,well payed
20409,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,well payed
20410,3,11 - 20 years,5-7 years,Some college,Woman,Technology & Science,well payed
20411,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Advertising,well payed
20412,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
20414,0,5-7 years,5-7 years,Master's degree,Woman,Consulting,very well payed
20415,0,1 year or less,1 year or less,PhD,Woman,Consulting,very well payed
20416,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,very well payed
20417,1,21 - 30 years,8 - 10 years,Master's degree,Man,Technology & Science,very well payed
20418,3,2 - 4 years,2 - 4 years,PhD,Woman,Technology & Science,bad payed
20419,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
20420,0,8 - 10 years,8 - 10 years,PhD,Woman,Education,well payed
20421,0,8 - 10 years,8 - 10 years,PhD,Woman,Non profit Organization,very well payed
20423,0,5-7 years,5-7 years,Some college,Woman,Other,well payed
20424,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,very well payed
20425,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
20426,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
20427,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
20428,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
20429,1,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed
20432,1,5-7 years,5-7 years,College degree,Prefer not to answer,Technology & Science,very well payed
20433,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,very well payed
20434,0,5-7 years,2 - 4 years,PhD,Prefer not to answer,Non profit Organization,well payed
20435,0,8 - 10 years,5-7 years,Master's degree,Woman,Industry,well payed
20436,1,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,well payed
20437,0,21 - 30 years,5-7 years,Some college,Woman,Banking & Insurance,well payed
20438,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Consulting,very well payed
20439,1,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,very well payed
20440,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed
20441,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
20442,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,very well payed
