,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
21215,5,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,well payed,75000.0,1.2068432841584924
21216,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,115000.0,1.8504930357096883
21218,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,bad payed,47000.0,0.7562884580726552
21219,0,25-34,5-7 years,5-7 years,Master's degree,Man,Technology & Science,well payed,100000.0,1.6091243788779899
21220,2,25-34,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Non-binary,Advertising,well payed,40320.0,1.0511168116123382
21221,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Health,well payed,143089.0,2.3024799824927267
21223,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,89301.0,1.4369641615818336
21224,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,49000.0,0.788470945650215
21225,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Public & Government,bad payed,27000.0,0.4344635822970572
21226,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,65000.0,1.0459308462706933
21227,0,25-34,5-7 years,5-7 years,PhD,Man,Technology & Science,well payed,110600.0,2.6348389555936724
21228,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Advertising,well payed,100000.0,1.6091243788779899
21229,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Public & Government,well payed,85000.0,1.3677557220462913
21230,1,35-44,8 - 10 years,5-7 years,College degree,Non-binary,Technology & Science,well payed,76000.0,1.2229345279472723
21231,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,well payed,187000.0,3.0090625885018407
21232,2,25-34,2 - 4 years,2 - 4 years,Some college,Woman,Other,bad payed,55000.0,0.8850184083828944
21233,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed,62000.0,0.9976571149043537
21234,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,60167.98,1.4333900323994664
21235,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Advertising,well payed,92000.0,1.4803944285677506
21236,5,25-34,8 - 10 years,5-7 years,College degree,Prefer not to answer,Culture,well payed,63200.0,1.5056222603392415
21237,0,45-54,21 - 30 years,21 - 30 years,Some college,Non-binary,Technology & Science,well payed,150000.0,2.413686568316985
21238,4,25-34,2 - 4 years,1 year or less,College degree,Woman,Technology & Science,bad payed,60000.0,0.9654746273267939
21239,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Advertising,well payed,59250.0,1.411520869068039
21240,0,25-34,5-7 years,5-7 years,Some college,Woman,Technology & Science,well payed,57670.0,1.3738803125595578
21241,5,25-34,5-7 years,5-7 years,College degree,Woman,Public & Government,well payed,88000.0,1.416029453412631
21242,0,25-34,8 - 10 years,5-7 years,Master's degree,Man,Education,well payed,67500.0,1.0861589557426432
21243,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,57600.0,0.9268556422337221
21244,2,25-34,5-7 years,2 - 4 years,Master's degree,Man,Health,bad payed,57000.0,0.9172008959604542
21245,0,25-34,8 - 10 years,8 - 10 years,College degree,Man,Technology & Science,well payed,131200.0,2.1111711850879225
21246,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,60900.0,0.9799567467366957
21247,1,18-24,1 year or less,1 year or less,College degree,Woman,Education,bad payed,27000.0,0.4344635822970572
21248,1,35-44,11 - 20 years,11 - 20 years,Some college,Man,Health,bad payed,60000.0,0.9654746273267939
21249,0,35-44,5-7 years,5-7 years,Some college,Man,Technology & Science,bad payed,52124.0,0.8387399912463634
21250,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,65000.0,1.0459308462706933
21251,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,185000.0,2.976880100924281
21252,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed,120000.0,1.9309492546535878
21253,4,25-34,2 - 4 years,2 - 4 years,College degree,Non-binary,Technology & Science,well payed,112200.0,1.8054375531011047
21255,0,45-54,21 - 30 years,8 - 10 years,PhD,Woman,Non profit Organization,well payed,146000.0,2.349321593161865
21256,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,98137.75,2.3379490661330284
21257,2,35-44,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed,73500.0,1.1827064184753224
21258,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed,60000.0,0.9654746273267939
21259,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed,55000.0,0.8850184083828944
21260,4,25-34,5-7 years,5-7 years,College degree,Man,Technology & Science,well payed,83000.0,1.3355732344687314
21261,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,82000.0,1.3194819906799515
21262,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Public & Government,well payed,75000.0,1.2068432841584924
21264,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,102000.0,1.6413068664555497
21265,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,135000.0,2.1723179114852864
21266,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,56000.0,0.9011096521716743
21267,0,25-34,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Law,well payed,175000.0,2.8159676630364823
21268,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Consulting,well payed,70000.0,1.1263870652145929
21269,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,169000.0,2.719420200303803
21270,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Law,bad payed,48000.0,0.7723797018614351
21271,1,35-44,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,bad payed,60000.0,0.9654746273267939
21272,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,35000.0,0.5631935326072964
21273,0,55-64,31 - 40 years,11 - 20 years,Some college,Woman,Technology & Science,bad payed,61000.0,0.9815658711155738
21275,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,bad payed,52000.0,0.8367446770165546
21276,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Unidentified,well payed,68900.0,1.5072760524680826
21277,0,35-44,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,Law,well payed,131950.0,2.1232396179295074
21279,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Culture,bad payed,44990.0,0.7239450580572077
21280,0,25-34,11 - 20 years,8 - 10 years,High School,Man,Industry,bad payed,37000.0,0.5953760201848562
21281,1,35-44,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Banking & Insurance,well payed,108000.0,1.737854329188229
21282,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Health,bad payed,39500.0,0.635604129656806
21283,2,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Health,well payed,88000.0,1.416029453412631
21284,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,95000.0,1.5286681599340903
21285,0,55-64,31 - 40 years,31 - 40 years,Some college,Woman,Law,well payed,66000.0,1.0620220900594732
21287,1,35-44,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Other,well payed,109000.0,1.7539455729770088
21288,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,38000.0,0.6114672639736362
21289,5,45-54,21 - 30 years,21 - 30 years,College degree,Man,Non profit Organization,well payed,123600.0,1.553357060988116
21291,5,35-44,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,41750.0,0.6718094281815608
21292,1,45-54,31 - 40 years,21 - 30 years,College degree,Woman,Consulting,well payed,90000.0,1.4482119409901908
21293,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Consulting,well payed,146000.0,2.349321593161865
21294,0,25-34,5-7 years,1 year or less,Master's degree,Woman,Health,well payed,125000.0,2.0114054735974873
21296,1,18-24,2 - 4 years,1 year or less,College degree,Woman,Unidentified,bad payed,35500.0,0.5712391545016864
21297,4,35-44,8 - 10 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,46120.2,1.0987278444825614
21298,4,25-34,2 - 4 years,2 - 4 years,PhD,Man,Technology & Science,bad payed,14840.0,0.5632477075362847
21299,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Consulting,well payed,87000.0,1.399938209623851
21300,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Culture,bad payed,57000.0,0.9172008959604542
21301,1,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Industry,well payed,150000.0,2.413686568316985
21302,0,45-54,11 - 20 years,8 - 10 years,Some college,Woman,Consulting,well payed,110000.0,1.7700368167657887
21303,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Unidentified,bad payed,61000.0,0.9815658711155738
21304,2,25-34,5-7 years,1 year or less,College degree,Woman,Consulting,bad payed,60000.0,0.9654746273267939
21306,1,35-44,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,well payed,133000.0,2.1401354239077266
21307,0,25-34,5-7 years,5-7 years,High School,Man,Technology & Science,bad payed,55000.0,0.8850184083828944
21308,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Unidentified,well payed,76000.0,1.2229345279472723
21309,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Other,well payed,175000.0,2.8159676630364823
21310,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,117000.0,1.882675523287248
21311,1,35-44,21 - 30 years,2 - 4 years,College degree,Woman,Unidentified,well payed,125000.0,2.0114054735974873
21312,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Industry,well payed,110000.0,1.7700368167657887
21313,1,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,83000.0,1.3355732344687314
21314,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,83000.0,1.3355732344687314
21315,3,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,88200.0,2.29931802540199
21316,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Health,well payed,89000.0,1.4321206972014109
21317,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,bad payed,54000.0,0.8689271645941145
21318,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Industry,well payed,68000.0,1.094204577637033
21319,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,well payed,98000.0,1.57694189130043
21320,4,25-34,11 - 20 years,2 - 4 years,College degree,Man,Technology & Science,well payed,50400.0,1.3138960145154228
21321,1,35-44,11 - 20 years,8 - 10 years,College degree,Non-binary,Culture,well payed,120000.0,1.9309492546535878
21322,0,18-24,1 year or less,1 year or less,Master's degree,Woman,Non profit Organization,bad payed,50000.0,0.8045621894389949
21323,0,25-34,8 - 10 years,5-7 years,Some college,Man,Technology & Science,well payed,80500.0,1.2953451249967818
21324,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed,80000.0,1.287299503102392
21325,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Advertising,bad payed,43680.0,0.702865528693906
21326,0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,170000.0,2.7355114440925825
21327,1,35-44,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,Law,well payed,86500.0,1.3918925877294612
21328,0,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Advertising,well payed,90000.0,1.4482119409901908
21329,1,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,105000.0,1.6895805978218892
21330,1,35-44,5-7 years,2 - 4 years,College degree,Woman,Unidentified,bad payed,43000.0,0.6919234829175356
21331,3,35-44,21 - 30 years,21 - 30 years,Master's degree,Woman,Non profit Organization,bad payed,52000.0,0.8367446770165546
21332,2,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Health,bad payed,62000.0,0.9976571149043537
21334,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,82000.0,1.3194819906799515
21335,5,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,44900.0,0.7224968461162175
21336,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Education,bad payed,54000.0,0.8689271645941145
21337,5,25-34,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,112000.0,1.8022193043433485
21338,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Man,Non profit Organization,bad payed,54000.0,0.8689271645941145
21340,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,bad payed,46000.0,0.7401972142838753
21341,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,55000.0,0.8850184083828944
21343,4,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,92000.0,1.4803944285677506
21344,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Public & Government,well payed,52930.0,1.2609586430341146
21345,0,55-64,31 - 40 years,8 - 10 years,Some college,Woman,Education,bad payed,18000.0,0.28964238819803817
21346,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,65000.0,1.0459308462706933
21347,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,164000.0,2.638963981359903
21348,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,92000.0,1.4803944285677506
21349,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,54178.74,1.4124053682037165
21350,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,92000.0,1.4803944285677506
21351,1,35-44,8 - 10 years,5-7 years,Some college,Woman,Industry,bad payed,58000.0,0.9332921397492341
21352,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Public & Government,well payed,71100.0,1.6938250428816466
21353,4,45-54,11 - 20 years,5-7 years,College degree,Man,Technology & Science,well payed,113760.0,2.710120068610635
21354,1,35-44,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,well payed,175000.0,2.8159676630364823
21355,1,45-54,11 - 20 years,11 - 20 years,PhD,Man,Non profit Organization,well payed,93000.0,1.4964856723565305
21356,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,120000.0,1.9309492546535878
21357,2,45-54,21 - 30 years,5-7 years,College degree,Woman,Health,well payed,68000.0,1.094204577637033
21358,0,25-34,5-7 years,5-7 years,PhD,Woman,Technology & Science,well payed,50400.0,1.3138960145154228
21359,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,111000.0,1.7861280605545686
21360,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Law,well payed,105000.0,1.6895805978218892
21361,2,25-34,8 - 10 years,1 year or less,College degree,Woman,Law,bad payed,45760.0,0.7363353157745681
21362,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,96000.0,1.5447594037228702
21364,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed,70000.0,1.1263870652145929
21366,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,90000.0,1.4482119409901908
21367,0,55-64,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,109000.0,1.7539455729770088
21368,2,45-54,21 - 30 years,2 - 4 years,College degree,Woman,Law,bad payed,48000.0,0.7723797018614351
21369,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed,31000.0,0.49882855745217686
21370,0,35-44,21 - 30 years,8 - 10 years,High School,Man,Other,bad payed,47000.0,0.7562884580726552
21371,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,48500.0,0.7804253237558251
21372,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
21375,2,18-24,1 year or less,2 - 4 years,Master's degree,Woman,Health,well payed,39519.9,1.0302587123819058
21376,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,90000.0,1.4482119409901908
21377,3,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,well payed,94000.0,1.5125769161453104
21378,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Man,Non profit Organization,well payed,95000.0,1.5286681599340903
21379,5,25-34,5-7 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,36000.0,0.5792847763960763
21380,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
21381,5,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Non profit Organization,bad payed,45000.0,0.7241059704950954
21382,1,35-44,11 - 20 years,5-7 years,PhD,Prefer not to answer,Health,well payed,102000.0,1.6413068664555497
