,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
18259,25-34,1.9309492546535878,120000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,120000.0
18260,25-34,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,160000.0
18261,25-34,1.1263870652145929,70000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,70000.0
18262,25-34,2.043587961175047,127000.0,5-7 years,5-7 years,Master's degree,Man,Technology & Science,127000.0
18263,35-44,0.8045621894389949,50000.0,5-7 years,5-7 years,Master's degree,Woman,Health,50000.0
18264,25-34,1.57694189130043,98000.0,8 - 10 years,2 - 4 years,College degree,Woman,Industry,98000.0
18265,25-34,2.655055225148683,165000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,165000.0
18266,35-44,2.413686568316985,150000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,150000.0
18267,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,120000.0
18268,35-44,1.4803944285677506,92000.0,21 - 30 years,21 - 30 years,College degree,Woman,Non profit Organization,92000.0
18269,25-34,1.287299503102392,80000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,80000.0
18270,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,College degree,Man,Education,65000.0
18271,45-54,2.381504080739425,148000.0,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,148000.0
18272,25-34,2.0114054735974873,125000.0,8 - 10 years,8 - 10 years,College degree,Man,Culture,125000.0
18273,25-34,1.4482119409901908,90000.0,8 - 10 years,5-7 years,College degree,Woman,Unidentified,90000.0
18274,25-34,2.6277920290308456,80000.0,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,100800.0
18275,25-34,2.349321593161865,146000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,146000.0
18276,45-54,2.2527741304291857,140000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,140000.0
18277,25-34,1.9792229860199275,123000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,123000.0
18281,45-54,2.0114054735974873,125000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,125000.0
18282,25-34,2.349321593161865,146000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,146000.0
18283,35-44,0.6758322391287557,42000.0,8 - 10 years,2 - 4 years,Some college,Non-binary,Banking & Insurance,42000.0
18284,25-34,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,Some college,Non-binary,Technology & Science,85000.0
18285,45-54,1.4482119409901908,90000.0,11 - 20 years,11 - 20 years,PhD,Man,Education,90000.0
18287,25-34,2.059679204963827,128000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,128000.0
18288,35-44,1.1907520403697125,74000.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,74000.0
18289,25-34,0.8367446770165546,52000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,52000.0
18290,35-44,2.8964238819803816,180000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,180000.0
18291,18-24,1.1292166952544311,60000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,47400.0
18292,25-34,1.8504930357096883,115000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,115000.0
18294,35-44,2.5142927874610286,130000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,130000.0
18295,35-44,2.2374874488298446,139050.0,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,139050.0
18296,25-34,1.3838469658350712,86000.0,11 - 20 years,8 - 10 years,Master's degree,Non-binary,Health,86000.0
18297,45-54,1.0022592106279447,62286.0,21 - 30 years,21 - 30 years,College degree,Man,Education,62286.0
18298,35-44,0.6693957416132438,41600.0,11 - 20 years,11 - 20 years,Some college,Man,Health,41600.0
18299,25-34,1.8551089876530247,80000.0,5-7 years,5-7 years,Master's degree,Man,Technology & Science,84800.0
18300,35-44,10.559734030957053,155000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,155000.0
18301,25-34,0.6114672639736362,38000.0,8 - 10 years,5-7 years,College degree,Woman,Education,38000.0
18302,25-34,1.1907520403697125,74000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,74000.0
18303,35-44,0.8850184083828944,55000.0,11 - 20 years,5-7 years,Some college,Non-binary,Health,55000.0
18304,25-34,1.1746607965809326,73000.0,2 - 4 years,2 - 4 years,College degree,Man,Technology & Science,73000.0
18305,35-44,0.8528359208053345,53000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Education,53000.0
18306,35-44,1.7700368167657887,110000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,110000.0
18307,35-44,2.494142787260884,155000.0,5-7 years,2 - 4 years,Master's degree,Woman,Other,155000.0
18308,25-34,1.0298396024819134,64000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,64000.0
18309,25-34,1.4482119409901908,90000.0,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Consulting,90000.0
18310,25-34,1.0137483586931335,63000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Health,63000.0
18311,25-34,2.8159676630364823,175000.0,5-7 years,2 - 4 years,PhD,Man,Technology & Science,175000.0
18312,35-44,1.1162817641152392,69372.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,69372.0
18313,45-54,1.9631317422311476,122000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,122000.0
18314,35-44,2.29931802540199,70000.0,11 - 20 years,5-7 years,College degree,Man,Non profit Organization,88200.0
18316,35-44,1.4617093161484078,44500.0,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,56070.0
18318,35-44,1.8988132729472222,107000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Other,75970.0
18320,45-54,1.3194819906799515,82000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,82000.0
18323,35-44,2.0918616925413867,130000.0,8 - 10 years,2 - 4 years,PhD,Woman,Technology & Science,130000.0
18324,35-44,2.1565641981466412,93000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Unidentified,98580.0
18325,25-34,1.6478288114744586,120000.0,8 - 10 years,5-7 years,PhD,Man,Technology & Science,85200.0
18326,55-64,1.6423700181442784,50000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,63000.0
18327,25-34,1.6573981102443296,103000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,103000.0
18328,25-34,1.6091243788779899,100000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,100000.0
18329,25-34,0.7241059704950954,45000.0,5-7 years,5-7 years,College degree,Woman,Culture,45000.0
18331,18-24,0.9654746273267939,60000.0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,60000.0
18332,25-34,1.3681428783941056,59000.0,11 - 20 years,11 - 20 years,High School,Man,Unidentified,62540.0
18334,45-54,2.800878458773196,167000.0,21 - 30 years,21 - 30 years,College degree,Man,Banking & Insurance,177020.0
18335,25-34,0.9011096521716743,56000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,56000.0
18336,25-34,2.655055225148683,165000.0,1 year or less,8 - 10 years,PhD,Woman,Consulting,165000.0
18338,25-34,2.976880100924281,185000.0,5-7 years,5-7 years,Master's degree,Man,Technology & Science,185000.0
18341,25-34,2.057571252027497,127869.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,127869.0
18342,45-54,2.220591642851626,138000.0,8 - 10 years,5-7 years,Master's degree,Woman,Industry,138000.0
18343,25-34,1.2233180865256337,65000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,51350.0
18344,35-44,0.7562884580726552,47000.0,11 - 20 years,2 - 4 years,College degree,Woman,Banking & Insurance,47000.0
18345,35-44,0.643649751551196,40000.0,11 - 20 years,8 - 10 years,College degree,Woman,Health,40000.0
18346,45-54,1.416029453412631,88000.0,31 - 40 years,11 - 20 years,College degree,Woman,Health,88000.0
18347,25-34,2.0114054735974873,125000.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,125000.0
18348,45-54,1.882027825424052,100000.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,79000.0
18349,25-34,1.5447594037228702,96000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,96000.0
18350,25-34,2.027496717386267,126000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,126000.0
18352,25-34,0.5993666486444736,37248.0,8 - 10 years,1 year or less,College degree,Man,Technology & Science,37248.0
18353,35-44,2.044864462479801,85000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Industry,90100.0
18354,25-34,2.8159676630364823,175000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,175000.0
18356,35-44,1.6059061301202338,99800.0,8 - 10 years,8 - 10 years,College degree,Man,Industry,99800.0
18357,35-44,2.8159676630364823,175000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,175000.0
18358,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,College degree,Woman,Health,75000.0
18359,25-34,1.1746607965809326,73000.0,5-7 years,2 - 4 years,Some college,Man,Technology & Science,73000.0
18360,35-44,1.1263870652145929,70000.0,11 - 20 years,11 - 20 years,College degree,Man,Other,70000.0
18361,35-44,1.3449540160484428,58000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,61480.0
18362,25-34,2.6304713804713806,100000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,100000.0
18364,35-44,1.287299503102392,80000.0,11 - 20 years,2 - 4 years,College degree,Man,Industry,80000.0
18365,25-34,1.2482012137896517,38000.0,5-7 years,1 year or less,Master's degree,Woman,Banking & Insurance,47880.0
18366,25-34,3.284740036288557,100000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,126000.0
18367,55-64,1.07103318658119,66560.0,21 - 30 years,2 - 4 years,PhD,Woman,Health,66560.0
18369,35-44,0.0,42000.0,11 - 20 years,11 - 20 years,High School,Man,Technology & Science,44520.0
18370,45-54,1.9953142298087074,124000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,124000.0
18371,45-54,1.7700368167657887,110000.0,21 - 30 years,8 - 10 years,Master's degree,Woman,Unidentified,110000.0
18373,35-44,1.5286681599340903,95000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,95000.0
18375,25-34,0.7241059704950954,45000.0,2 - 4 years,2 - 4 years,College degree,Man,Health,45000.0
18376,25-34,1.7879264341528494,95000.0,8 - 10 years,8 - 10 years,College degree,Man,Banking & Insurance,75050.0
18377,45-54,2.9286063695579414,182000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,182000.0
18378,35-44,0.788470945650215,49000.0,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,49000.0
18379,35-44,1.9761292166952544,105000.0,21 - 30 years,21 - 30 years,High School,Man,Technology & Science,82950.0
18381,35-44,1.5644356298837432,83125.0,5-7 years,2 - 4 years,PhD,Woman,Education,65668.75
18382,45-54,2.086997611109653,90000.0,21 - 30 years,11 - 20 years,PhD,Man,Technology & Science,95400.0
18383,25-34,2.5906902499935636,161000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Banking & Insurance,161000.0
18385,25-34,1.4538438763162638,90350.0,5-7 years,5-7 years,College degree,Man,Technology & Science,90350.0
18386,35-44,1.112385600976205,51600.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,54696.0
18387,25-34,1.6091243788779899,100000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,100000.0
18388,25-34,1.8066070199587063,55000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,69300.0
18389,25-34,1.4964856723565305,93000.0,2 - 4 years,1 year or less,Master's degree,Woman,Technology & Science,93000.0
18390,25-34,1.0459308462706933,65000.0,5-7 years,5-7 years,Master's degree,Woman,Education,65000.0
18391,35-44,2.7676939316701423,172000.0,11 - 20 years,11 - 20 years,College degree,Man,Industry,172000.0
18394,25-34,1.8123947811447811,65000.0,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,68900.0
18395,25-34,2.0918616925413867,130000.0,5-7 years,5-7 years,College degree,Man,Industry,130000.0
18396,35-44,1.7409122192329352,53000.0,11 - 20 years,2 - 4 years,PhD,Man,Technology & Science,66780.0
18397,35-44,1.5286681599340903,95000.0,5-7 years,5-7 years,College degree,Man,Technology & Science,95000.0
18398,25-34,1.4555821168024385,106000.0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,75260.0
18399,25-34,0.8367446770165546,52000.0,8 - 10 years,8 - 10 years,College degree,Woman,Industry,52000.0
18400,35-44,2.8642413944028218,178000.0,11 - 20 years,11 - 20 years,College degree,Woman,Consulting,178000.0
18401,35-44,2.574599006204784,160000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Technology & Science,160000.0
18402,35-44,2.8964238819803816,180000.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,180000.0
18403,25-34,2.2932228092548734,57000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,60420.0
18405,45-54,2.6277920290308456,80000.0,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,100800.0
18406,35-44,2.8159676630364823,175000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,175000.0
18407,25-34,1.2104586144435987,52200.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Consulting,55332.0
18408,55-64,1.5125769161453104,94000.0,31 - 40 years,21 - 30 years,Master's degree,Woman,Technology & Science,94000.0
18409,25-34,1.5090502338824487,70000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,74200.0
18410,35-44,1.5286681599340903,95000.0,11 - 20 years,8 - 10 years,College degree,Woman,Advertising,95000.0
18411,25-34,1.3194819906799515,82000.0,2 - 4 years,2 - 4 years,College degree,Man,Banking & Insurance,82000.0
18412,18-24,0.5953760201848562,37000.0,2 - 4 years,2 - 4 years,College degree,Woman,Health,37000.0
18413,35-44,2.0114054735974873,125000.0,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Consulting,125000.0
18414,35-44,1.6091243788779899,100000.0,11 - 20 years,8 - 10 years,Some college,Man,Technology & Science,100000.0
18415,35-44,2.4717432172116878,180000.0,21 - 30 years,21 - 30 years,Some college,Man,Technology & Science,127800.0
18416,25-34,0.0,52500.0,5-7 years,5-7 years,Master's degree,Woman,Technology & Science,55650.0
18417,45-54,1.874629901392858,116500.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,116500.0
18418,25-34,2.408995616542786,128000.0,11 - 20 years,5-7 years,College degree,Man,Technology & Science,101120.0
18419,35-44,1.8504930357096883,115000.0,11 - 20 years,5-7 years,Master's degree,Man,Health,115000.0
18422,35-44,2.2527741304291857,140000.0,2 - 4 years,2 - 4 years,PhD,Man,Technology & Science,140000.0
18423,35-44,3.0090625885018407,187000.0,11 - 20 years,8 - 10 years,College degree,Man,Technology & Science,187000.0
18424,35-44,1.8551089876530247,80000.0,11 - 20 years,11 - 20 years,Some college,Man,Technology & Science,84800.0
18425,25-34,2.655055225148683,165000.0,5-7 years,5-7 years,PhD,Woman,Health,165000.0
18426,45-54,2.494142787260884,155000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,155000.0
18427,25-34,1.5438278170556217,47000.0,5-7 years,2 - 4 years,College degree,Man,Non profit Organization,59220.0
18429,35-44,1.6091243788779899,100000.0,11 - 20 years,8 - 10 years,College degree,Man,Banking & Insurance,100000.0
18430,25-34,1.1585695527921527,72000.0,11 - 20 years,2 - 4 years,Some college,Man,Industry,72000.0
18431,25-34,2.8964238819803816,180000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Technology & Science,180000.0
18432,45-54,2.655055225148683,165000.0,21 - 30 years,8 - 10 years,Some college,Man,Technology & Science,165000.0
18433,35-44,0.9654746273267939,60000.0,11 - 20 years,8 - 10 years,High School,Woman,Culture,60000.0
18434,35-44,1.6815131177547284,78000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Consulting,82680.0
18435,25-34,1.149659012700995,35000.0,2 - 4 years,5-7 years,PhD,Woman,Public & Government,44100.0
18436,25-34,0.6351701808171182,19337.0,5-7 years,2 - 4 years,College degree,Non-binary,Health,24364.62
18437,55-64,3.0090625885018407,187000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,187000.0
18438,25-34,0.7080147267063155,44000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,44000.0
18439,35-44,3.233679072605247,150000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,159000.0
18440,25-34,1.3033907468911716,81000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,81000.0
18443,25-34,0.8498045449546605,34000.0,5-7 years,2 - 4 years,College degree,Woman,Technology & Science,34000.0
18444,35-44,2.2336232246762187,68000.0,11 - 20 years,8 - 10 years,College degree,Man,Other,85680.0
18445,25-34,1.6938250428816466,90000.0,5-7 years,1 year or less,Master's degree,Woman,Technology & Science,71100.0
18446,35-44,1.6252156226667698,101000.0,8 - 10 years,5-7 years,College degree,Man,Technology & Science,101000.0
18447,35-44,1.1746607965809326,73000.0,11 - 20 years,8 - 10 years,College degree,Woman,Health,73000.0
18449,45-54,2.266470625039104,69000.0,21 - 30 years,21 - 30 years,College degree,Man,Banking & Insurance,86940.0
18450,45-54,1.3178728663010737,81900.0,21 - 30 years,21 - 30 years,High School,Woman,Health,81900.0
18452,35-44,2.4144803742119176,112000.0,8 - 10 years,8 - 10 years,High School,Man,Industry,118720.0
