,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
21617,1,2.008187224839731,11 - 20 years,8 - 10 years,Master's degree,Health,124800.0
21618,4,3.5963929867923072,21 - 30 years,21 - 30 years,High School,Technology & Science,223500.0
21619,0,1.1263870652145929,5-7 years,2 - 4 years,College degree,Industry,66000.0
21620,1,1.5125769161453104,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,89000.0
21621,3,1.8504930357096883,5-7 years,2 - 4 years,Master's degree,Other,115000.0
21622,3,1.3268296169239566,8 - 10 years,2 - 4 years,College degree,Public & Government,55695.0
21623,1,3.298704976699879,11 - 20 years,11 - 20 years,Master's degree,Health,175000.0
21624,2,0.6726139903709998,8 - 10 years,5-7 years,Some college,Culture,36800.0
21625,0,1.1979931000746633,11 - 20 years,2 - 4 years,College degree,Technology & Science,72250.0
21626,1,0.7878755696300301,11 - 20 years,11 - 20 years,High School,Health,48963.0
21627,0,0.8153111402898998,11 - 20 years,11 - 20 years,College degree,Human Ressources,50668.0
21628,0,2.655055225148683,11 - 20 years,11 - 20 years,College degree,Consulting,155000.0
21629,0,1.1987976622641023,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,74500.0
21630,0,0.9815658711155738,11 - 20 years,5-7 years,College degree,Banking & Insurance,56000.0
21631,1,0.6838778610231456,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,41500.0
21632,2,0.6080710755177376,21 - 30 years,5-7 years,College degree,Health,23325.12
21633,4,1.9792229860199275,21 - 30 years,8 - 10 years,Master's degree,Health,123000.0
21634,2,1.4836126773255065,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Education,91000.0
21635,0,1.6734893540331093,8 - 10 years,8 - 10 years,College degree,Consulting,77000.0
21636,2,0.6758322391287557,2 - 4 years,1 year or less,College degree,Education,42000.0
21637,0,1.0459308462706933,11 - 20 years,8 - 10 years,College degree,Culture,65000.0
21638,1,1.4803944285677506,11 - 20 years,11 - 20 years,Master's degree,Education,92000.0
21639,2,1.0781133338482531,5-7 years,5-7 years,Some college,Industry,62000.0
21640,0,1.8344017919209084,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,109000.0
21641,2,0.6758322391287557,5-7 years,5-7 years,College degree,Other,42000.0
21642,1,1.4482119409901908,21 - 30 years,11 - 20 years,Unknown,Consulting,78000.0
21643,1,2.2045003990628462,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Health,129000.0
21644,0,1.89715764269715,11 - 20 years,5-7 years,College degree,Technology & Science,101900.0
21645,0,1.0781133338482531,11 - 20 years,11 - 20 years,College degree,Public & Government,67000.0
21646,4,3.9745372158286347,8 - 10 years,8 - 10 years,Master's degree,Advertising,197000.0
21647,0,3.2182487577559797,21 - 30 years,21 - 30 years,College degree,Agriculture & Food,165000.0
21648,3,2.1679284239504475,2 - 4 years,2 - 4 years,College degree,Consulting,83160.0
21649,0,2.638963981359903,11 - 20 years,11 - 20 years,College degree,Industry,149000.0
21650,1,1.0459308462706933,21 - 30 years,11 - 20 years,Some college,Advertising,65000.0
21651,1,1.9309492546535878,11 - 20 years,11 - 20 years,PhD,Agriculture & Food,120000.0
21652,0,1.3677557220462913,21 - 30 years,8 - 10 years,College degree,Banking & Insurance,85000.0
21653,0,0.8367446770165546,11 - 20 years,8 - 10 years,College degree,Health,52000.0
21654,2,1.898766767076028,5-7 years,5-7 years,Master's degree,Industry,118000.0
21655,2,1.399938209623851,5-7 years,5-7 years,College degree,Advertising,87000.0
21656,1,1.3259184881954635,31 - 40 years,31 - 40 years,Master's degree,Health,82400.0
21657,0,0.5953760201848562,8 - 10 years,2 - 4 years,College degree,Health,37000.0
21658,0,1.3130454931644397,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,76000.0
21659,0,1.3355732344687314,21 - 30 years,2 - 4 years,College degree,Retail,78000.0
21660,0,1.1344326871089827,21 - 30 years,8 - 10 years,College degree,Industry,70000.0
21661,2,1.4321206972014109,31 - 40 years,21 - 30 years,PhD,Education,89000.0
21662,1,1.721763085399449,11 - 20 years,11 - 20 years,Master's degree,Education,105000.0
21663,0,2.1723179114852864,11 - 20 years,11 - 20 years,PhD,Technology & Science,129000.0
21664,2,0.7080147267063155,5-7 years,1 year or less,College degree,Banking & Insurance,34000.0
21665,1,2.866399847531923,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,85320.0
21666,0,0.5265054967688783,8 - 10 years,8 - 10 years,Some college,Non profit Organization,32520.0
21667,2,1.7700368167657887,5-7 years,5-7 years,College degree,Technology & Science,110000.0
21668,0,2.0114054735974873,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,100000.0
21669,1,1.4433845678535568,8 - 10 years,5-7 years,Master's degree,Banking & Insurance,78000.0
21670,2,0.9310232784830691,5-7 years,2 - 4 years,High School,Banking & Insurance,48138.0
21671,0,0.9767384979789399,11 - 20 years,5-7 years,Master's degree,Technology & Science,60700.0
21672,3,3.459617414587678,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,200000.0
21673,4,2.2688653742179654,21 - 30 years,21 - 30 years,Some college,Technology & Science,141000.0
21674,2,0.5522514868309261,8 - 10 years,5-7 years,College degree,Retail,34320.0
21675,3,0.8045621894389949,5-7 years,5-7 years,Master's degree,Social,50000.0
21676,3,0.7390665081649253,2 - 4 years,2 - 4 years,Some college,Banking & Insurance,28350.0
21677,0,0.6581732674299777,21 - 30 years,2 - 4 years,College degree,Human Ressources,23247.0
21678,1,1.1601786771710307,11 - 20 years,5-7 years,Master's degree,Non profit Organization,72100.0
21679,0,2.333230349373085,11 - 20 years,1 year or less,PhD,Banking & Insurance,145000.0
21680,4,1.6091243788779899,8 - 10 years,8 - 10 years,Master's degree,Banking & Insurance,94000.0
21681,0,0.5631935326072964,11 - 20 years,2 - 4 years,College degree,Agriculture & Food,35000.0
21682,4,2.574599006204784,21 - 30 years,21 - 30 years,Some college,Human Ressources,115000.0
21683,0,3.411343683221338,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,160000.0
21684,0,0.9172008959604542,11 - 20 years,8 - 10 years,Some college,Health,52000.0
21685,3,0.643649751551196,8 - 10 years,2 - 4 years,Master's degree,Industry,40000.0
21686,0,1.6734893540331093,11 - 20 years,11 - 20 years,College degree,Consulting,104000.0
21687,3,1.0217939805875236,2 - 4 years,2 - 4 years,College degree,Industry,60000.0
21688,0,1.9309492546535878,8 - 10 years,8 - 10 years,College degree,Culture,120000.0
21689,1,2.175536160243042,11 - 20 years,31 - 40 years,Master's degree,Culture,135200.0
21690,1,0.5792847763960763,5-7 years,2 - 4 years,Master's degree,Health,36000.0
21691,0,0.7721222419608146,8 - 10 years,8 - 10 years,College degree,Culture,47984.0
21692,2,1.9309492546535878,5-7 years,5-7 years,College degree,Banking & Insurance,110000.0
21693,2,0.6275585077624161,5-7 years,5-7 years,College degree,Non profit Organization,37500.0
21694,0,0.7745955856754937,11 - 20 years,5-7 years,Some college,Banking & Insurance,39050.0
21695,3,0.7883376087092536,2 - 4 years,2 - 4 years,College degree,Human Ressources,30240.0
21696,0,2.3010478617955252,11 - 20 years,11 - 20 years,College degree,Energy,113000.0
21697,0,1.2551170155248321,1 year or less,1 year or less,College degree,Public & Government,76000.0
21698,0,0.9332921397492341,8 - 10 years,1 year or less,College degree,Technology & Science,50000.0
21699,1,0.6087280235249953,8 - 10 years,2 - 4 years,Some college,Health,23350.32
21700,2,1.1580426910615589,5-7 years,2 - 4 years,Some college,Banking & Insurance,46610.0
21701,2,0.7643340799670452,5-7 years,5-7 years,College degree,Culture,47500.0
21702,2,1.5286681599340903,5-7 years,5-7 years,Master's degree,Other,90000.0
21703,1,0.9896114930099638,1 year or less,1 year or less,Master's degree,Industry,61500.0
21704,3,0.46664606987461704,21 - 30 years,2 - 4 years,College degree,Public & Government,29000.0
21705,0,1.3467434148783084,31 - 40 years,31 - 40 years,Some college,Law,51660.0
21706,0,2.29931802540199,11 - 20 years,11 - 20 years,College degree,Construction,88200.0
21707,2,0.9896114930099638,5-7 years,5-7 years,College degree,Banking & Insurance,60000.0
21708,1,1.7700368167657887,11 - 20 years,11 - 20 years,Master's degree,Agriculture & Food,100000.0
21709,0,1.1263870652145929,21 - 30 years,5-7 years,High School,Law,65000.0
21710,1,1.0459308462706933,2 - 4 years,2 - 4 years,College degree,Unidentified,65000.0
21711,3,0.8045621894389949,5-7 years,5-7 years,Master's degree,Non profit Organization,50000.0
21712,0,1.2068432841584924,21 - 30 years,8 - 10 years,College degree,Industry,75000.0
21713,2,0.6114672639736362,5-7 years,5-7 years,College degree,Banking & Insurance,38000.0
21714,0,2.4169048170747405,2 - 4 years,2 - 4 years,College degree,Technology & Science,130200.0
21715,1,1.0459308462706933,8 - 10 years,8 - 10 years,Master's degree,Education,65000.0
21716,2,0.7743911073350326,5-7 years,5-7 years,Some college,Banking & Insurance,47125.0
21717,0,1.7438536306460835,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,63200.0
21718,0,0.6750276769393168,11 - 20 years,5-7 years,College degree,Construction,41600.0
21719,0,1.5286681599340903,21 - 30 years,21 - 30 years,College degree,Culture,95000.0
21720,3,0.9332921397492341,2 - 4 years,2 - 4 years,College degree,Construction,56000.0
21721,0,1.287299503102392,11 - 20 years,11 - 20 years,College degree,Non profit Organization,80000.0
21722,4,0.4344635822970572,8 - 10 years,8 - 10 years,Master's degree,Culture,27000.0
21723,0,2.7355114440925825,21 - 30 years,21 - 30 years,College degree,Industry,140000.0
21724,0,1.2067224538356178,11 - 20 years,8 - 10 years,High School,Agriculture & Food,48280.0
21725,3,0.9598341909662664,2 - 4 years,2 - 4 years,College degree,Advertising,40290.0
21726,0,0.4529685126541541,8 - 10 years,8 - 10 years,High School,Culture,28000.0
21727,1,2.7355114440925825,31 - 40 years,11 - 20 years,Master's degree,Unidentified,155000.0
21728,4,4.988285574521768,21 - 30 years,21 - 30 years,Master's degree,Advertising,230000.0
21729,1,1.0459308462706933,21 - 30 years,8 - 10 years,Master's degree,Non profit Organization,65000.0
21730,4,2.880332638191602,21 - 30 years,8 - 10 years,Master's degree,Non profit Organization,175000.0
21731,0,1.4482119409901908,8 - 10 years,8 - 10 years,College degree,Culture,90000.0
21732,0,1.0298396024819134,11 - 20 years,8 - 10 years,Master's degree,Social,64000.0
21733,2,2.2834476843910805,5-7 years,5-7 years,PhD,Banking & Insurance,90850.0
21734,4,0.7804253237558251,8 - 10 years,8 - 10 years,Master's degree,Social,48000.0
21735,3,0.6114672639736362,2 - 4 years,2 - 4 years,Some college,Unidentified,38000.0
21736,2,0.48273731366339695,5-7 years,5-7 years,College degree,Culture,30000.0
21737,4,1.729808707293839,8 - 10 years,8 - 10 years,Master's degree,Banking & Insurance,107500.0
21738,0,0.5269677911187345,8 - 10 years,8 - 10 years,Some college,Social,22120.0
21739,0,2.075770448752607,21 - 30 years,11 - 20 years,College degree,Consulting,125000.0
21740,1,1.7176481799123309,11 - 20 years,11 - 20 years,College degree,Health,71100.0
21741,0,1.2201346515280245,11 - 20 years,11 - 20 years,College degree,Technology & Science,69826.0
21742,0,1.2551170155248321,11 - 20 years,5-7 years,Master's degree,Technology & Science,73000.0
21743,0,1.4803944285677506,11 - 20 years,8 - 10 years,Master's degree,Public & Government,90000.0
21744,1,1.7861280605545686,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,111000.0
21745,0,1.2068432841584924,2 - 4 years,1 year or less,College degree,Technology & Science,75000.0
21746,0,0.702865528693906,21 - 30 years,21 - 30 years,College degree,Social,43680.0
21747,3,0.0,2 - 4 years,2 - 4 years,PhD,Education,27984.0
21748,0,1.4781330163298505,11 - 20 years,8 - 10 years,College degree,Non profit Organization,56700.0
21749,2,1.0298930071715366,5-7 years,2 - 4 years,College degree,Consulting,53250.0
21750,0,2.253731641722404,11 - 20 years,11 - 20 years,College degree,Public & Government,90170.0
21751,2,1.968428145153528,5-7 years,5-7 years,College degree,Industry,87980.0
21752,0,0.9815658711155738,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,60000.0
21753,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Non profit Organization,130000.0
21754,1,3.2182487577559797,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,165000.0
21755,2,0.5342292937874926,8 - 10 years,5-7 years,College degree,Non profit Organization,33000.0
21756,0,2.8642413944028218,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,153000.0
21757,0,1.9309492546535878,11 - 20 years,2 - 4 years,College degree,Other,110000.0
21758,4,0.7562884580726552,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,47000.0
21759,2,0.9654746273267939,5-7 years,5-7 years,College degree,Construction,58000.0
21760,1,2.333230349373085,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,125000.0
21761,3,0.5689863803712571,2 - 4 years,1 year or less,College degree,Public & Government,35360.0
21762,0,1.9068123889704178,11 - 20 years,11 - 20 years,College degree,Advertising,118500.0
21763,3,0.635604129656806,2 - 4 years,2 - 4 years,Some college,Banking & Insurance,38000.0
21764,3,1.2068432841584924,2 - 4 years,5-7 years,Master's degree,Other,75000.0
21765,0,2.4458690558945446,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,127000.0
21766,2,0.8528359208053345,5-7 years,2 - 4 years,College degree,Health,50000.0
21767,0,0.8367446770165546,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,52000.0
21768,3,0.6838778610231456,31 - 40 years,2 - 4 years,Some college,Other,42000.0
21769,1,2.4120774439381067,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Health,139900.0
21770,3,1.2551170155248321,2 - 4 years,2 - 4 years,College degree,Unidentified,73000.0
21771,1,1.8022193043433485,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,101000.0
21772,0,1.0459308462706933,8 - 10 years,8 - 10 years,College degree,Non profit Organization,65000.0
21773,1,0.6594030792204114,8 - 10 years,5-7 years,Master's degree,Non profit Organization,40979.0
21774,0,3.7904857244155252,11 - 20 years,8 - 10 years,College degree,Unidentified,50400.0
21775,2,1.1682242990654206,8 - 10 years,5-7 years,PhD,Education,72000.0
21776,3,0.8625958332366297,8 - 10 years,2 - 4 years,High School,Retail,42600.0
21777,0,1.399938209623851,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,87000.0
21778,3,4.859555624211529,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,220000.0
21779,1,1.1907520403697125,11 - 20 years,11 - 20 years,Master's degree,Education,74000.0
21780,1,0.949383383538014,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Education,59000.0
21781,0,0.643649751551196,11 - 20 years,5-7 years,Some college,Construction,40000.0
21782,1,1.2229345279472723,21 - 30 years,11 - 20 years,PhD,Education,76000.0
21783,1,1.6155608763935017,11 - 20 years,11 - 20 years,Master's degree,Health,88400.0
21784,0,2.107952936330167,5-7 years,2 - 4 years,College degree,Technology & Science,131000.0
21785,1,2.413686568316985,11 - 20 years,11 - 20 years,Some college,Health,120000.0
21786,0,2.413686568316985,31 - 40 years,31 - 40 years,College degree,Public & Government,150000.0
21787,0,1.1263870652145929,8 - 10 years,5-7 years,Master's degree,Public & Government,70000.0
21788,0,1.59303313508921,11 - 20 years,5-7 years,College degree,Other,91000.0
21789,1,2.526325274838444,21 - 30 years,11 - 20 years,Master's degree,Retail,137000.0
21790,0,2.687237712726243,11 - 20 years,11 - 20 years,College degree,Technology & Science,97000.0
21791,2,0.776742476381155,8 - 10 years,5-7 years,PhD,Education,29795.22
21792,1,1.0700677119538633,11 - 20 years,11 - 20 years,Master's degree,Education,65000.0
21793,3,1.3559902187741142,2 - 4 years,2 - 4 years,Unknown,Health,42014.7
21794,1,1.5608506475116501,11 - 20 years,2 - 4 years,Master's degree,Health,97000.0
21795,0,1.4868309260832626,11 - 20 years,5-7 years,College degree,Health,84000.0
21796,0,1.6895805978218892,11 - 20 years,5-7 years,College degree,Consulting,105000.0
21797,2,0.8033247570040023,8 - 10 years,2 - 4 years,Some college,Education,33720.36
21798,0,2.638963981359903,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,144000.0
21799,3,0.5631935326072964,5-7 years,2 - 4 years,Master's degree,Social,35000.0
21800,3,1.6573981102443296,8 - 10 years,2 - 4 years,PhD,Public & Government,103000.0
21801,1,1.0459308462706933,11 - 20 years,11 - 20 years,High School,Other,65000.0
21802,1,1.1585695527921527,11 - 20 years,5-7 years,Master's degree,Health,72000.0
21803,0,1.1263870652145929,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,68000.0
21804,4,1.4482119409901908,8 - 10 years,8 - 10 years,Master's degree,Industry,90000.0
