,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
24040,2,11 - 20 years,5-7 years,Master's degree,Banking & Insurance,very well payed
24041,4,11 - 20 years,5-7 years,College degree,Education,bad payed
24042,0,5-7 years,2 - 4 years,Master's degree,Public & Government,bad payed
24043,3,8 - 10 years,8 - 10 years,Some college,Unidentified,bad payed
24044,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
24045,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
24046,4,21 - 30 years,8 - 10 years,College degree,Non profit Organization,bad payed
24047,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
24048,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
24049,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
24050,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24051,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,well payed
24052,0,5-7 years,5-7 years,Master's degree,Health,well payed
24053,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
24054,1,11 - 20 years,11 - 20 years,College degree,Public & Government,well payed
24055,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
24056,1,31 - 40 years,11 - 20 years,Some college,Public & Government,well payed
24057,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,well payed
24058,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
24059,1,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,well payed
24060,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Public & Government,very well payed
24061,1,21 - 30 years,5-7 years,College degree,Technology & Science,bad payed
24062,1,31 - 40 years,21 - 30 years,College degree,Technology & Science,well payed
24063,3,1 year or less,1 year or less,Some college,Banking & Insurance,very bad payed 
24064,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
24065,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
24066,3,8 - 10 years,8 - 10 years,College degree,Public & Government,bad payed
24067,1,11 - 20 years,2 - 4 years,College degree,Non profit Organization,well payed
24068,1,11 - 20 years,8 - 10 years,College degree,Culture,very well payed
24069,4,5-7 years,2 - 4 years,College degree,Technology & Science,bad payed
24070,3,21 - 30 years,8 - 10 years,Master's degree,Banking & Insurance,bad payed
24071,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
24072,1,31 - 40 years,31 - 40 years,College degree,Banking & Insurance,well payed
24073,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
24074,4,2 - 4 years,2 - 4 years,College degree,Other,very bad payed 
24075,0,8 - 10 years,5-7 years,Master's degree,Industry,well payed
24076,0,5-7 years,11 - 20 years,Master's degree,Health,very well payed
24077,1,21 - 30 years,21 - 30 years,College degree,Culture,well payed
24078,0,1 year or less,1 year or less,"Professional degree (MD, JD, etc.)",Law,well payed
24079,4,2 - 4 years,2 - 4 years,College degree,Consulting,well payed
24080,3,8 - 10 years,8 - 10 years,College degree,Industry,well payed
24081,2,5-7 years,5-7 years,Master's degree,Technology & Science,very well payed
24082,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
24083,0,8 - 10 years,5-7 years,College degree,Industry,well payed
24084,0,5-7 years,5-7 years,College degree,Human Ressources,well payed
24085,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
24086,0,21 - 30 years,11 - 20 years,Master's degree,Other,bad payed
24087,2,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24088,0,5-7 years,5-7 years,Master's degree,Social,bad payed
24089,4,8 - 10 years,2 - 4 years,Master's degree,Education,bad payed
24090,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
24091,0,5-7 years,5-7 years,College degree,Unidentified,bad payed
24092,0,5-7 years,5-7 years,College degree,Culture,well payed
24093,4,2 - 4 years,2 - 4 years,PhD,Industry,very well payed
24094,2,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24095,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
24096,3,8 - 10 years,8 - 10 years,PhD,Industry,very well payed
24097,4,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
24098,4,11 - 20 years,2 - 4 years,High School,Industry,bad payed
24099,1,31 - 40 years,11 - 20 years,College degree,Banking & Insurance,well payed
24100,0,5-7 years,5-7 years,College degree,Industry,bad payed
24101,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
24102,1,11 - 20 years,8 - 10 years,College degree,Education,well payed
24103,3,8 - 10 years,8 - 10 years,PhD,Education,well payed
24104,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,bad payed
24105,4,2 - 4 years,2 - 4 years,Some college,Health,bad payed
24106,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
24107,2,8 - 10 years,5-7 years,Master's degree,Unidentified,very well payed
24108,3,8 - 10 years,5-7 years,Some college,Banking & Insurance,bad payed
24109,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,well payed
24110,0,1 year or less,2 - 4 years,Master's degree,Health,well payed
24111,1,21 - 30 years,11 - 20 years,College degree,Education,well payed
24112,4,2 - 4 years,2 - 4 years,Master's degree,Banking & Insurance,bad payed
24113,2,41 years or more,21 - 30 years,Master's degree,Industry,very well payed
24114,1,31 - 40 years,21 - 30 years,Some college,Technology & Science,well payed
24115,1,5-7 years,2 - 4 years,College degree,Technology & Science,very well payed
24116,4,5-7 years,2 - 4 years,Some college,Education,bad payed
24117,0,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Technology & Science,well payed
24118,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
24119,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
24120,4,8 - 10 years,2 - 4 years,College degree,Retail,bad payed
24121,0,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Law,well payed
24122,2,11 - 20 years,5-7 years,Some college,Banking & Insurance,bad payed
24123,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
24124,1,8 - 10 years,2 - 4 years,College degree,Industry,well payed
24125,4,8 - 10 years,2 - 4 years,College degree,Non profit Organization,bad payed
24126,0,21 - 30 years,11 - 20 years,Master's degree,Non profit Organization,well payed
24127,0,8 - 10 years,5-7 years,Master's degree,Culture,bad payed
24128,3,8 - 10 years,8 - 10 years,Unknown,Banking & Insurance,well payed
24129,4,2 - 4 years,2 - 4 years,College degree,Consulting,very well payed
24130,4,11 - 20 years,2 - 4 years,College degree,Education,bad payed
24131,1,21 - 30 years,8 - 10 years,College degree,Public & Government,very well payed
24132,0,5-7 years,5-7 years,PhD,Education,well payed
24133,4,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,well payed
24134,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
24135,0,21 - 30 years,5-7 years,College degree,Unidentified,well payed
24136,0,8 - 10 years,5-7 years,Some college,Advertising,bad payed
24137,1,11 - 20 years,11 - 20 years,Master's degree,Culture,well payed
24138,1,11 - 20 years,5-7 years,College degree,Industry,bad payed
24139,0,31 - 40 years,31 - 40 years,High School,Law,well payed
24140,2,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,very well payed
24141,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
24142,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
24143,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
24144,0,5-7 years,5-7 years,Master's degree,Consulting,well payed
24145,0,41 years or more,41 years or more,Master's degree,Non profit Organization,very bad payed 
24146,4,5-7 years,2 - 4 years,College degree,Advertising,bad payed
24147,0,41 years or more,21 - 30 years,High School,Non profit Organization,bad payed
24148,2,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,very well payed
24149,3,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,well payed
24150,3,8 - 10 years,1 year or less,High School,Banking & Insurance,bad payed
24151,4,2 - 4 years,2 - 4 years,PhD,Health,well payed
24152,0,8 - 10 years,5-7 years,Master's degree,Education,well payed
24153,1,11 - 20 years,11 - 20 years,Some college,Unidentified,well payed
24154,0,5-7 years,5-7 years,PhD,Health,well payed
24155,1,11 - 20 years,5-7 years,College degree,Education,well payed
24156,4,5-7 years,2 - 4 years,College degree,Advertising,bad payed
24157,2,21 - 30 years,11 - 20 years,Master's degree,Technology & Science,very well payed
24158,0,5-7 years,5-7 years,Master's degree,Non profit Organization,well payed
24159,0,5-7 years,5-7 years,PhD,Other,well payed
24160,1,5-7 years,2 - 4 years,College degree,Technology & Science,very well payed
24161,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
24162,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
24163,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
24164,4,2 - 4 years,1 year or less,College degree,Health,bad payed
24165,1,11 - 20 years,11 - 20 years,College degree,Culture,very well payed
24166,2,21 - 30 years,21 - 30 years,Some college,Technology & Science,very well payed
24167,2,31 - 40 years,31 - 40 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24168,4,1 year or less,1 year or less,College degree,Other,bad payed
24169,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
24170,1,21 - 30 years,21 - 30 years,College degree,Industry,well payed
24171,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
24172,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,well payed
24173,4,2 - 4 years,2 - 4 years,Some college,Unidentified,bad payed
24174,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
24175,1,5-7 years,2 - 4 years,College degree,Technology & Science,well payed
24176,1,1 year or less,1 year or less,College degree,Industry,well payed
24177,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
24178,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
24179,0,5-7 years,5-7 years,College degree,Advertising,bad payed
24180,0,5-7 years,5-7 years,College degree,Advertising,well payed
24181,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
24182,1,11 - 20 years,11 - 20 years,Unknown,Culture,bad payed
24183,1,11 - 20 years,11 - 20 years,College degree,Education,bad payed
24184,3,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,well payed
24185,2,8 - 10 years,5-7 years,PhD,Industry,very well payed
24186,1,11 - 20 years,11 - 20 years,College degree,Education,bad payed
24187,1,11 - 20 years,11 - 20 years,College degree,Industry,very well payed
24188,2,8 - 10 years,8 - 10 years,PhD,Technology & Science,very well payed
24189,1,11 - 20 years,11 - 20 years,College degree,Other,well payed
24190,4,11 - 20 years,5-7 years,College degree,Education,bad payed
24191,1,11 - 20 years,5-7 years,College degree,Technology & Science,well payed
24192,1,11 - 20 years,11 - 20 years,Some college,Public & Government,very bad payed 
24193,1,11 - 20 years,11 - 20 years,College degree,Retail,very well payed
24194,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
24195,0,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Non profit Organization,well payed
24196,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
24197,4,2 - 4 years,2 - 4 years,Master's degree,Social,bad payed
24198,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,bad payed
24199,0,1 year or less,1 year or less,Master's degree,Industry,well payed
24200,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
24201,1,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Human Ressources,well payed
24202,3,11 - 20 years,8 - 10 years,Master's degree,Unidentified,well payed
24203,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
24204,0,21 - 30 years,21 - 30 years,Master's degree,Education,well payed
24205,1,31 - 40 years,11 - 20 years,College degree,Industry,bad payed
24206,0,8 - 10 years,5-7 years,High School,Other,very bad payed 
24207,0,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Law,well payed
24208,2,8 - 10 years,5-7 years,PhD,Technology & Science,very well payed
24209,0,5-7 years,2 - 4 years,College degree,Culture,well payed
24210,0,5-7 years,8 - 10 years,College degree,Advertising,well payed
24211,4,31 - 40 years,2 - 4 years,Master's degree,Culture,bad payed
24212,4,2 - 4 years,2 - 4 years,Master's degree,Education,bad payed
24213,2,11 - 20 years,5-7 years,Master's degree,Education,bad payed
24214,0,11 - 20 years,8 - 10 years,PhD,Non profit Organization,well payed
24215,3,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Construction,well payed
24216,0,21 - 30 years,11 - 20 years,Master's degree,Other,well payed
24217,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
24218,1,11 - 20 years,11 - 20 years,PhD,Non profit Organization,well payed
24219,1,11 - 20 years,5-7 years,College degree,Technology & Science,bad payed
24220,2,21 - 30 years,8 - 10 years,Master's degree,Other,very well payed
24221,0,5-7 years,5-7 years,PhD,Human Ressources,well payed
24222,1,8 - 10 years,2 - 4 years,Some college,Technology & Science,very bad payed 
24223,0,5-7 years,5-7 years,PhD,Industry,very well payed
24224,1,8 - 10 years,2 - 4 years,College degree,Health,well payed
24225,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
24226,1,21 - 30 years,11 - 20 years,College degree,Advertising,very well payed
24227,3,11 - 20 years,8 - 10 years,Some college,Banking & Insurance,bad payed
24228,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,well payed
24229,0,5-7 years,5-7 years,Master's degree,Non profit Organization,well payed
24230,1,11 - 20 years,11 - 20 years,Master's degree,Culture,well payed
24231,1,11 - 20 years,8 - 10 years,College degree,Banking & Insurance,well payed
24232,2,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Law,very well payed
24233,1,11 - 20 years,11 - 20 years,PhD,Education,well payed
24234,4,8 - 10 years,2 - 4 years,College degree,Health,bad payed
24235,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
24236,1,11 - 20 years,11 - 20 years,PhD,Education,bad payed
24237,1,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,well payed
24238,2,21 - 30 years,21 - 30 years,High School,Banking & Insurance,very well payed
24239,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
24240,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
24241,0,5-7 years,2 - 4 years,College degree,Banking & Insurance,well payed
24242,4,8 - 10 years,5-7 years,College degree,Culture,bad payed
24243,1,11 - 20 years,2 - 4 years,College degree,Health,very bad payed 
